2019;ID;TITLE;WHO;WHAT;HOW;
2020;80;Anticipating Identification of Technical Debt Items in Model-Driven Software Projects;Human_Researcher;Solution;Data;
2020;81;Using Surveys to Build-up Empirical Evidence on Test-Related Technical Debt;Human_Researcher;Descriptive;Respondent;
2020;82;A Semi-Automated Iterative Process for Detecting Feature Interactions;Human;Solution;Lab;
2020;83;On the Relation between Complexity, Explicitness, Effectiveness of Refactorings and Non-Functional Concerns;Human_Researcher;Descriptive;Data;
2020;84;Evaluating Usefulness, Ease of Use and Usability of an UML-based Software Product Line Tool;System;Solution;Respondent;
2020;85;Recovering Architectural Variability from Source Code;Human;Solution;Lab;
2021;86;Human Factors and their Influence on Software Development Teams - A Tertiary Study;Human_Researcher;Descriptive;Meta;
2021;87;A Mining Software Repository Extended Cookbook: Lessons learned from a literature review;Human_Researcher;Descriptive;Meta;
2021;88;A Survey on the use of UML in brazilian industry;Human_Researcher;Descriptive;Respondent;
2021;89;Towards a Technique to Detect Weaknesses in C Programs;Human;Solution;Data;
2021;90;Deep Reinforcement Learning based Mobile Application GUI Testing;System;Solution;Data;
2021;90;Deep Reinforcement Learning based Mobile Application GUI Testing;System;Solution;Lab;
2021;91;Knowledge-based Risk Management: A Systematic Literature Review;Human_Researcher;Descriptive;Meta;
2021;92;A Quasi-Experiment to Investigating the Impact of the Strategy Design Pattern on Maintainability;Researcher;Descriptive;Lab;
2021;93;How do Brazilian Software Development Teams Deal with Remote Work After a Year of the COVID-19 Pandemic?;Human;Descriptive;Respondent;
2021;94;Breaking one barrier at a time: how women developers cope in a men-dominated industry;Human;Descriptive;Respondent;
2021;95;Experiences and Practices in GUI Functional Testing: A Software Practitioners' View;Researcher;Descriptive;Respondent;
2021;96;Factors that Affect Merge Conflicts: A Software Developers' Perspective;Researcher;Descriptive;Respondent;
2021;97;How do Code Smell Co-occurrences Removal Impact Internal Quality Attributes? A Developers' Perspective;Human;Descriptive;Lab;
2021;97;How do Code Smell Co-occurrences Removal Impact Internal Quality Attributes? A Developers' Perspective;Human;Descriptive;Respondent;
2021;98;Trust yourself! Or maybe not: factors related to overconfidence and uncertainty assessments of software effort estimates;Human_Researcher;Descriptive;Meta;
2021;99;On the Interplay of Smells Large Class, Complex Class and Duplicate Code;Human_System;Solution;Lab;
2021;100;Ants Doing Legwork: Investigating Motivators for Software Development Career Abandonment;Human;Descriptive;Respondent;
2021;101;Evolving Delta-Oriented Product Lines: A Case Study on Feature Interaction, Safe and Partially Safe Evolution;Human_Researcher;Solution;Lab;
2021;102;Textual merge based on language-specific syntactic separators;System_Researcher;Solution;Lab;
2021;103;Estimating Issue Resolution Time on GitHub Using Textual and Temporal Features;Researcher;Solution;Data;
2021;104;On the relation between technical debt indicators and quality criteria in Stack Overflow discussions;Human_Researcher;Solution;Data;
2021;105;Learning Quick Fixes from Code Repositories;Human;Solution;Data;
2021;105;Learning Quick Fixes from Code Repositories;Human;Solution;Lab;
2021;105;Learning Quick Fixes from Code Repositories;Human;Solution;Respondent;
